number,value,datetime_start,datetime_complete,duration,params_atr_stop_mult,params_atr_tp_mult,params_ema_fast,params_ema_slow,user_attrs_sharpe_ratio,user_attrs_total_trades,user_attrs_win_rate,state
0,1.0400861563038724,2026-06-12 19:56:33.875341,2026-06-12 19:56:34.213994,0 days 00:00:00.338653,2.0,4.0,9,20,0.005933108442513649,36.0,44.44444444444444,COMPLETE
1,0.8615110564471987,2026-06-12 19:56:34.213994,2026-06-12 19:56:34.644189,0 days 00:00:00.430195,2.5,4.0,5,26,-0.4421577853837953,36.0,38.88888888888889,COMPLETE
2,1.0845319859591405,2026-06-12 19:56:34.644189,2026-06-12 19:56:34.964012,0 days 00:00:00.319823,1.5,3.0,9,21,0.10494933186006122,37.0,45.94594594594595,COMPLETE
3,1.2443469448999482,2026-06-12 19:56:34.964012,2026-06-12 19:56:35.257188,0 days 00:00:00.293176,2.0,2.5,12,26,0.3824897583388939,34.0,52.94117647058824,COMPLETE
4,1.1489533169133401,2026-06-12 19:56:35.257188,2026-06-12 19:56:35.564095,0 days 00:00:00.306907,2.0,4.0,12,21,0.20248865583196288,35.0,51.42857142857142,COMPLETE
5,1.2443469448999482,2026-06-12 19:56:35.564095,2026-06-12 19:56:35.927166,0 days 00:00:00.363071,2.0,2.5,12,26,0.3824897583388939,34.0,52.94117647058824,COMPLETE
6,0.0,2026-06-12 19:56:35.927166,2026-06-12 19:56:35.927166,0 days 00:00:00,2.5,2.5,9,21,,,,COMPLETE
7,1.1489533169133401,2026-06-12 19:56:35.927166,2026-06-12 19:56:36.384858,0 days 00:00:00.457692,2.5,3.0,12,21,0.20248865583196288,35.0,51.42857142857142,COMPLETE
8,0.8615110564471987,2026-06-12 19:56:36.384858,2026-06-12 19:56:36.694443,0 days 00:00:00.309585,2.5,4.0,5,26,-0.4421577853837953,36.0,38.88888888888889,COMPLETE
9,1.1489533169133401,2026-06-12 19:56:36.694443,2026-06-12 19:56:37.017512,0 days 00:00:00.323069,2.0,3.0,12,21,0.20248865583196288,35.0,51.42857142857142,COMPLETE
